res_id,wrk_1,wrk_2,wrk_3,wrk_4,wrk_5,wrk_6,wrk_7,wrk_8,wrk_9,wrk_10,wrk_11,wrk_12,wrk_13,wrk_14,wrk_15,wrk_16,wrk_17,wrk_18,wrk_19,wrk_20,wrk_21,wrk_22,wrk_23,wrk_24,wrk_25,wrk_26,wrk_27,wrk_28,wrk_29,wrk_30,wrk_31,wrk_32,wrk_33,wrk_34,wrk_35,wrk_36,wrk_37,wrk_38,wrk_39,wrk_40,wrk_41,wrk_42,wrk_43,wrk_44,wrk_45,wrk_46,wrk_47,wrk_48,wrk_49,wrk_50,wrk_51,wrk_52,wrk_53,wrk_54,wrk_55,wrk_56,wrk_57,wrk_58,wrk_59,wrk_60,wrk_61,wrk_62,wrk_63,wrk_64,wrk_65,wrk_66,wrk_67,wrk_68,wrk_69,wrk_70,wrk_71,wrk_72,wrk_73,wrk_74,wrk_75,wrk_76,wrk_77
1,597,16,14,7,12,91,7,140,92,4,18,14,3,5,12,9,8,25,57,43,1,139,19,5,75,5,6,36,13,15,1,35,94,73,343,86,4,520,416,388,256,3144,107,25,12,10,5,1706,138,952,17,252,56,232,152,1,476,135,8,1,131,7,9,4,69,7,322,3,4,2,6,19,19,3,186,441,15
2,9,234,41,17,8,56,2,7,13,15,45,60,4,1,8,13,13,11,9,11,0,9,3,5,3,6,40,69,4,10,4,11,19,22,12,9,5,38,61,4,34,737,92,51,2,9,7,389,48,317,94,9,44,7,19,0,33,6,16,0,12,3,1,11,55,7,11,4,6,21,4,4,63,1,7,104,2
3,6,26,741,11,7,26,2,11,12,9,130,27,3,2,13,5,13,48,5,9,4,8,2,8,5,18,9,81,9,8,10,3,19,40,13,11,5,65,65,10,40,992,103,47,1,6,6,394,87,286,35,16,23,9,13,0,69,8,3,1,3,8,8,2,31,8,30,5,3,3,3,4,14,1,10,89,10
4,13,195,59,251,42,71,43,35,30,74,76,84,22,16,43,124,38,75,20,47,6,21,2,44,12,17,91,240,49,60,11,21,45,191,30,12,11,81,90,20,71,3897,217,70,6,39,41,965,174,991,226,31,94,28,14,2,125,17,34,6,33,33,18,47,160,36,56,24,8,39,26,9,240,7,15,158,45
5,10,106,56,119,214,64,124,21,23,112,43,38,59,31,117,100,17,150,14,44,16,33,4,62,9,23,76,171,100,133,14,9,44,256,50,9,36,119,85,24,34,3418,181,51,3,45,19,1441,224,1080,147,18,86,24,19,5,140,14,49,12,38,91,43,65,97,102,70,76,12,13,41,13,117,16,33,131,41
6,103,103,93,37,35,1028,144,234,278,24,57,65,19,20,40,48,24,119,114,184,1,76,56,14,53,11,39,240,63,34,4,125,385,120,389,116,16,390,396,138,333,5537,296,79,103,17,8,2565,254,1864,153,160,282,130,186,2,733,195,24,3,122,30,3,28,221,22,172,10,9,18,14,64,106,1,131,949,18
7,4,10,13,10,5,18,70,4,4,8,16,7,12,14,24,10,4,29,6,10,0,5,2,14,4,4,5,29,19,21,7,2,12,102,9,3,11,29,33,6,5,978,26,4,1,4,12,331,77,203,17,10,8,3,5,1,51,3,13,2,13,23,19,13,17,50,22,5,2,0,6,0,26,2,6,31,21
8,75,23,12,6,2,98,4,474,98,8,45,25,3,6,2,20,5,37,40,36,1,88,11,1,28,7,14,49,15,4,2,60,109,120,249,50,9,446,380,121,516,2976,84,18,19,8,5,1635,106,1225,50,197,40,98,92,0,404,103,5,0,65,2,3,3,69,7,114,4,2,11,2,15,12,1,70,685,6
9,168,66,24,19,6,291,8,390,899,12,32,49,5,10,21,35,14,34,143,56,4,105,28,6,91,9,16,60,12,13,4,263,270,99,415,142,8,452,382,216,610,3107,209,65,116,10,6,1778,180,1102,62,223,95,171,225,0,563,467,9,1,142,8,5,6,179,9,216,4,8,15,8,33,43,1,119,860,2
10,3,27,44,46,22,30,8,9,8,371,19,19,11,23,22,29,6,45,16,23,17,14,2,10,6,4,11,75,18,32,5,10,12,240,11,9,11,40,35,7,23,3328,36,11,2,132,112,540,104,592,39,16,30,10,12,0,69,7,16,5,29,36,14,24,46,18,23,12,3,2,10,2,30,6,9,67,32
11,21,71,854,25,7,80,10,46,36,21,672,96,5,10,13,44,30,126,19,15,10,27,15,17,7,13,32,175,19,19,6,16,75,224,43,35,18,173,164,24,113,3067,354,123,4,10,9,1312,237,1119,195,31,52,31,35,0,82,21,7,8,23,18,12,11,89,27,68,6,12,6,8,13,27,9,26,276,25
12,20,214,315,47,16,115,6,64,53,26,186,622,2,2,32,60,54,47,23,44,5,29,12,6,12,16,102,161,14,16,10,35,97,84,53,25,7,152,150,28,122,1798,400,187,8,16,10,998,158,950,391,42,78,36,37,0,97,30,25,4,20,12,8,13,188,11,45,8,5,41,14,13,119,3,21,395,9
13,1,2,7,3,4,6,8,4,3,2,1,0,8,5,17,5,1,9,0,2,0,4,0,2,0,2,0,1,3,3,1,0,2,17,0,1,2,11,8,5,1,191,4,2,0,6,1,69,9,47,6,1,3,1,2,0,13,3,7,0,1,11,0,6,3,4,4,8,0,0,1,0,3,1,4,6,4
14,4,10,20,20,10,20,62,7,5,26,12,5,23,39,45,14,4,42,3,11,10,5,2,10,4,4,14,30,39,47,11,1,16,137,10,3,12,39,23,6,8,1428,30,10,0,13,7,423,64,352,18,8,17,8,4,4,47,1,23,3,17,40,21,49,13,41,24,17,6,5,5,2,28,3,17,45,22
15,7,50,30,33,53,47,118,11,17,69,24,33,57,28,152,36,17,110,14,31,6,7,8,43,6,14,41,116,88,135,8,5,24,241,25,18,26,81,81,12,29,2650,104,45,2,41,18,1070,161,806,84,17,72,18,25,4,101,5,50,6,36,61,38,69,49,108,55,41,16,4,28,8,82,5,19,86,50
16,29,229,45,117,48,121,47,40,29,58,93,166,27,17,53,308,72,89,30,63,13,19,9,34,5,21,192,254,54,64,12,34,111,140,43,19,23,127,103,25,83,2544,327,151,6,17,38,1101,207,1028,304,45,145,33,36,0,146,20,48,8,29,32,29,39,196,30,74,22,6,41,52,17,404,19,34,350,19
17,13,105,35,27,10,58,6,23,25,13,34,68,4,10,9,53,213,17,25,13,8,11,5,8,4,13,67,333,8,25,9,23,37,55,14,20,2,42,50,10,36,2494,142,43,4,12,20,562,160,621,104,20,46,15,40,0,103,16,15,5,19,12,9,12,98,10,21,7,2,26,8,7,136,3,16,108,5
18,6,22,44,21,20,23,21,11,12,26,38,23,18,9,31,23,5,212,16,23,4,18,8,16,4,6,19,58,67,45,4,2,32,148,15,23,20,66,63,14,27,2084,71,19,1,10,2,850,163,695,39,13,56,11,18,4,62,6,12,6,23,28,9,15,32,20,50,13,12,4,10,8,33,4,25,124,42
19,75,51,13,4,1,133,2,157,185,5,10,27,2,8,7,7,2,21,602,42,2,72,52,2,65,6,5,55,4,5,0,57,109,39,159,128,2,317,193,133,237,3443,92,27,76,8,6,951,155,809,31,147,38,77,320,0,501,274,3,3,62,2,2,2,68,3,110,0,0,6,0,20,8,0,87,365,2
20,20,32,62,6,10,133,20,55,34,7,12,31,5,8,8,19,11,29,35,130,1,20,17,4,8,3,19,65,18,5,3,11,87,47,115,33,6,119,103,38,97,1314,79,35,15,3,4,603,79,586,36,45,115,26,24,1,151,33,7,1,20,8,1,3,53,11,53,4,8,8,4,20,25,0,21,271,3
21,4,34,17,24,15,22,14,8,14,32,25,18,25,32,23,12,7,19,12,11,332,13,2,4,3,7,16,32,10,37,130,9,14,114,18,11,13,34,45,19,25,1345,75,28,2,22,15,428,89,342,59,9,20,12,14,1,49,8,87,7,16,35,197,186,49,24,25,6,4,4,5,1,100,8,16,89,27
22,73,18,22,7,1,96,3,115,39,9,22,18,2,5,14,3,5,76,60,36,1,1084,20,5,62,5,11,64,15,9,0,26,121,263,142,51,11,865,652,323,228,6130,84,27,6,9,15,3651,196,1866,20,305,54,164,128,2,318,83,14,0,614,9,2,10,44,8,648,2,7,7,3,15,16,2,317,540,23
23,4,14,2,3,0,13,0,12,12,1,6,2,0,1,2,2,3,4,21,12,0,27,153,2,23,1,1,13,0,2,0,12,7,10,46,26,0,58,47,19,24,1596,21,4,14,4,3,290,38,220,8,33,9,40,101,1,146,38,0,0,23,0,1,1,16,1,26,0,2,1,0,3,1,0,27,61,0
24,6,37,49,41,48,47,56,9,17,40,38,39,36,14,52,39,5,108,11,31,7,14,7,95,6,11,44,108,53,69,10,7,28,103,23,14,20,72,52,18,24,1294,79,27,3,31,9,608,111,399,80,16,44,16,18,1,88,11,23,5,20,36,15,33,54,52,35,21,15,4,25,7,69,2,24,78,28
25,41,6,9,2,1,53,0,47,25,1,12,5,1,2,3,2,1,9,32,15,0,60,30,3,266,0,3,17,2,0,0,16,40,33,77,54,1,112,86,108,57,2408,46,10,17,0,2,666,71,516,5,73,21,101,91,0,154,57,0,0,99,1,2,2,18,4,68,0,3,0,1,6,6,1,83,135,13
26,2,3,14,2,3,5,12,2,1,5,0,0,5,0,10,4,3,8,3,3,1,3,0,1,0,10,0,9,5,12,1,0,4,22,3,3,1,9,7,4,8,174,6,3,0,0,0,86,16,68,10,1,7,2,2,0,16,1,1,0,3,2,5,3,7,5,12,0,3,3,1,3,5,0,3,20,3
27,28,271,54,64,9,75,8,30,34,21,82,231,5,3,26,86,42,27,23,42,4,19,1,16,8,27,370,157,15,21,4,40,65,81,29,39,9,76,73,26,92,1409,304,94,6,16,14,753,144,745,302,40,86,24,27,4,110,22,23,1,21,9,19,14,164,15,32,5,8,40,21,17,243,11,30,256,15
28,23,189,50,41,14,114,12,27,26,25,67,109,2,7,21,46,79,31,50,29,14,10,6,3,4,23,88,701,20,26,8,27,59,77,17,29,4,58,67,10,60,3655,217,66,5,22,38,831,201,893,172,33,78,22,46,2,131,22,20,6,30,14,11,13,178,8,28,11,6,31,2,16,86,13,19,157,12
29,5,36,37,38,23,41,54,10,18,31,26,32,29,12,33,34,9,132,22,40,4,14,3,34,3,13,16,67,174,52,4,5,35,282,21,21,32,77,88,14,22,2346,103,43,4,13,10,956,178,743,64,13,68,12,18,1,75,6,35,7,27,46,18,31,59,44,61,37,27,4,18,20,41,12,29,145,49
30,13,45,45,54,70,48,115,15,29,72,20,22,48,20,99,41,8,118,14,33,7,17,11,57,9,17,44,116,74,170,12,3,26,224,32,8,31,80,78,22,28,2041,98,53,5,34,22,919,170,634,80,18,56,20,19,8,109,8,24,10,38,55,35,57,55,95,64,38,22,6,24,7,87,10,21,80,62
31,6,10,21,10,4,13,13,7,6,20,4,7,12,11,11,5,4,17,2,6,79,4,0,0,0,4,3,26,7,11,133,1,12,57,4,2,3,15,19,3,14,864,24,19,0,16,3,170,46,153,26,11,14,2,5,0,19,5,28,1,9,7,36,96,15,3,11,3,4,4,2,0,13,10,3,37,10
32,71,23,3,3,4,92,1,139,140,3,12,18,1,2,8,12,1,13,24,36,1,55,9,1,23,2,13,21,13,3,0,214,153,38,168,28,1,201,170,61,264,1039,64,22,34,3,4,642,59,452,36,83,20,56,54,0,206,101,3,0,33,3,1,3,50,3,66,2,4,10,1,5,13,0,45,346,6
33,61,76,41,14,13,234,32,149,170,13,45,55,7,10,22,35,15,51,55,91,1,53,22,5,35,6,32,105,32,23,2,94,492,83,221,112,4,349,325,83,618,2520,205,46,35,13,10,1765,118,1209,75,128,121,94,116,3,360,93,9,1,63,11,9,11,121,17,133,6,8,13,16,22,57,5,74,1159,7
34,6,30,19,11,9,40,12,13,17,12,24,22,9,12,18,21,3,70,18,19,8,22,4,6,5,7,22,55,28,44,4,5,26,3256,25,16,43,99,111,29,44,2135,74,23,3,12,9,850,98,729,48,31,42,30,20,3,90,13,13,4,56,23,22,8,40,37,67,5,48,9,14,7,19,4,25,159,110
35,179,21,15,7,9,120,4,273,112,5,27,12,0,3,13,10,7,29,92,50,0,154,38,2,71,2,6,43,9,9,0,62,133,94,811,112,5,604,481,318,442,4478,133,41,28,7,4,2323,212,1502,28,381,57,188,174,0,604,182,4,2,174,4,3,3,91,11,273,7,1,3,5,14,17,2,159,642,18
36,71,13,8,4,2,60,1,81,53,2,11,12,2,3,6,3,6,9,89,12,2,54,40,3,106,1,2,22,6,9,1,22,45,26,94,344,1,191,146,135,97,2400,37,14,17,5,4,765,101,529,24,117,25,112,175,0,340,146,1,1,88,3,2,3,48,2,87,1,3,3,0,27,6,0,69,209,2
37,4,28,27,22,10,30,20,7,8,13,14,10,18,13,27,13,5,82,23,22,7,20,8,14,8,4,14,51,58,53,1,2,27,895,26,8,76,80,56,14,31,1932,51,19,0,4,8,679,100,512,38,19,33,13,14,8,56,6,13,1,32,16,9,17,26,30,49,11,26,4,0,3,23,3,14,126,54
38,84,57,44,8,2,223,6,195,91,9,63,52,5,8,11,10,2,134,87,94,1,251,17,5,75,13,18,102,27,11,2,75,260,689,209,84,16,2813,1526,293,582,18308,156,44,15,15,24,9173,304,5286,63,615,111,126,184,2,647,97,6,0,325,6,8,20,131,9,432,2,16,3,8,39,15,2,202,1164,43
39,38,28,29,6,3,144,4,79,60,7,45,32,2,8,9,6,3,81,41,41,0,111,10,4,33,8,7,71,14,6,2,20,110,455,108,42,9,652,1407,130,334,11286,125,30,5,13,17,5616,150,3232,47,224,72,62,89,3,312,68,5,1,132,0,7,7,67,5,173,1,10,1,4,23,12,1,83,625,20
40,118,13,12,5,0,83,2,111,59,2,21,21,3,7,9,4,2,33,55,42,0,194,20,5,65,0,7,27,6,5,1,19,75,117,151,49,2,765,492,989,211,4774,87,9,12,2,6,2494,178,1519,32,358,45,183,76,0,247,62,4,2,225,4,6,3,36,6,368,3,5,2,5,12,11,0,236,453,12
41,94,100,48,7,7,247,7,365,201,12,50,36,4,9,7,29,5,58,102,83,2,123,25,7,46,8,23,108,26,15,3,123,265,388,284,86,12,746,805,223,1732,8420,207,61,44,11,7,4369,188,3398,100,376,120,145,198,4,677,160,7,0,166,4,7,11,101,12,270,2,22,15,5,24,20,2,147,1743,27
42,8,16,54,10,4,67,8,22,21,5,30,12,5,10,4,15,4,79,13,11,6,20,2,9,12,0,18,69,11,7,2,8,36,594,31,35,9,135,173,30,77,8324,74,18,4,7,7,2188,131,1920,21,55,42,19,23,1,471,12,8,2,62,13,11,8,37,5,55,1,22,0,4,13,9,2,27,209,17
43,27,67,71,20,9,99,4,48,32,11,83,75,3,6,11,31,15,44,28,41,8,19,10,8,10,4,22,79,16,9,2,23,90,173,37,25,7,188,195,26,176,2631,859,77,5,5,7,1292,172,1408,138,46,106,14,40,0,90,14,7,2,26,4,11,8,164,6,35,3,16,12,3,15,56,0,14,467,17
44,11,53,263,13,3,46,1,21,10,11,135,66,3,1,11,11,17,15,5,18,3,10,4,3,5,2,29,65,12,5,2,14,45,63,13,13,7,80,76,6,53,1246,229,183,3,7,5,511,94,450,131,18,25,14,19,0,43,2,8,0,7,4,8,6,72,8,25,3,5,12,5,3,33,1,9,149,12
45,13,10,3,6,3,56,1,35,88,4,4,4,1,2,2,4,1,6,45,14,0,15,12,0,21,0,2,11,2,1,1,19,18,15,68,41,0,59,49,38,58,826,41,5,115,2,3,310,60,274,11,41,13,19,65,0,141,73,1,0,18,1,0,0,18,2,37,0,0,1,2,13,10,2,24,124,0
46,4,45,31,48,29,27,38,13,9,112,18,17,5,13,28,28,3,66,9,34,5,14,3,9,1,9,12,66,27,37,3,5,12,133,14,11,6,42,49,5,16,2808,56,22,2,213,75,519,118,495,71,9,30,11,12,0,92,6,29,4,31,63,17,37,47,22,29,26,19,6,6,4,30,10,9,55,38
47,7,15,46,31,2,25,1,12,13,75,14,27,3,12,10,22,5,20,9,13,12,14,3,3,6,2,25,95,8,10,3,5,8,63,10,8,1,32,42,3,24,3527,34,17,0,81,290,333,125,350,44,16,30,10,4,2,51,3,5,4,19,12,15,16,35,6,18,3,0,14,3,4,31,6,6,67,13
48,39,62,51,14,8,161,11,76,59,22,52,40,8,17,20,35,17,138,55,59,3,71,18,13,30,4,32,144,16,21,4,24,183,615,80,57,11,542,719,139,291,18224,174,36,4,18,10,11005,215,4704,77,216,99,48,79,1,493,42,11,6,182,18,18,28,90,14,220,7,15,6,6,41,33,3,89,741,36
49,19,26,76,11,0,54,7,22,21,7,40,21,5,9,7,9,2,78,22,7,1,21,4,6,8,2,16,74,31,6,4,4,23,759,26,43,0,130,128,24,44,4119,87,27,2,7,3,1442,390,1300,34,26,47,11,39,1,104,5,4,0,64,6,10,6,48,6,78,0,10,1,4,5,19,2,27,167,21
50,33,66,68,14,9,193,19,55,62,16,56,41,9,18,18,40,11,107,44,62,4,61,19,9,22,12,17,114,32,28,3,29,137,447,108,62,24,300,376,103,185,9097,219,51,8,21,13,3349,186,5040,91,106,149,38,81,3,300,31,11,0,114,20,24,32,105,21,132,6,12,14,11,33,40,1,61,614,43
51,20,131,165,53,20,112,36,77,50,30,163,139,19,9,36,70,24,79,27,59,4,25,7,28,10,14,109,103,34,35,9,26,84,146,45,25,20,158,175,31,106,1827,265,121,10,15,12,838,214,806,601,43,73,28,46,3,93,21,23,8,36,14,18,20,134,30,54,14,16,20,21,9,106,9,23,311,27
52,67,15,17,2,2,89,3,77,45,4,11,10,4,7,6,2,5,25,37,35,1,84,7,3,28,1,4,24,3,7,0,39,87,107,117,36,4,706,452,176,245,4725,60,9,14,5,4,2405,112,1555,15,671,49,67,57,0,176,48,7,1,122,1,3,2,48,8,198,1,2,8,3,16,3,0,92,441,10
53,37,65,60,11,6,212,21,55,51,9,40,49,6,7,15,34,9,55,27,94,0,32,16,2,6,5,37,144,39,20,2,27,118,58,136,24,8,180,169,54,105,1954,151,54,26,9,3,923,105,795,85,38,363,38,41,0,200,37,13,0,40,11,2,8,149,11,68,6,15,10,8,32,42,4,30,424,8
54,56,3,9,2,3,19,1,32,19,0,8,7,0,3,4,7,3,11,20,12,0,49,10,4,35,1,2,12,3,4,0,12,37,37,92,35,1,158,78,189,52,1033,29,17,4,2,3,479,39,334,8,74,25,359,83,0,120,46,2,1,98,3,4,1,18,7,107,1,4,0,1,3,6,0,128,115,8
55,64,17,9,5,0,57,1,59,72,3,16,27,0,4,10,6,4,14,112,27,0,74,106,4,87,10,4,31,4,6,1,28,61,40,109,126,1,235,152,118,104,4643,71,17,43,3,1,983,134,736,37,92,19,91,670,0,515,227,4,0,126,3,2,6,40,4,86,1,1,2,2,19,11,0,91,260,3
56,1,9,21,6,7,12,25,2,6,14,7,6,15,0,11,6,5,51,1,4,3,5,1,16,1,4,10,20,35,19,1,1,15,88,7,4,10,24,21,3,6,693,22,8,0,4,2,312,47,227,16,4,16,10,5,13,18,3,6,4,10,3,1,12,13,11,13,9,4,1,4,3,11,1,6,33,19
57,21,5,5,3,0,28,0,19,31,3,4,2,1,1,1,2,2,7,41,5,2,23,14,2,10,0,2,14,3,2,1,11,19,16,27,14,0,44,41,24,39,766,21,4,14,1,2,270,33,207,8,22,4,25,95,0,440,52,1,0,30,0,2,2,15,1,23,1,1,1,1,6,3,0,37,69,3
58,133,59,20,24,4,170,3,209,248,9,28,25,6,2,20,18,9,33,201,54,4,115,51,2,102,2,7,53,6,9,3,83,144,73,395,256,5,515,367,212,438,4274,130,35,58,12,9,1946,214,1307,63,263,64,218,318,0,702,1006,13,0,125,8,5,8,84,11,219,3,1,6,5,39,29,2,149,616,8
59,4,12,10,4,12,13,36,3,5,27,4,7,20,9,24,11,2,25,2,8,8,3,3,11,4,2,18,18,13,21,1,2,4,64,8,3,5,15,21,4,4,642,15,15,1,14,10,224,33,147,21,2,11,2,3,0,26,2,27,3,6,37,5,28,8,15,6,12,1,1,15,4,16,8,8,32,17
60,2,6,13,8,6,7,20,3,5,13,4,11,10,7,21,15,1,46,2,1,2,2,2,14,0,1,4,20,20,4,6,1,3,23,6,3,4,13,4,1,2,330,13,9,0,7,4,118,21,85,24,4,8,1,1,1,25,2,22,7,4,51,6,24,8,14,9,16,3,2,4,1,18,9,4,19,6
61,69,24,18,7,2,91,5,83,53,10,30,12,0,5,9,9,5,65,47,55,0,400,9,3,53,0,6,51,18,14,0,38,88,229,178,67,6,660,605,254,177,4280,75,14,8,4,5,2654,164,1369,27,207,35,151,96,0,233,69,7,2,1303,4,13,7,49,14,530,5,12,4,6,11,14,1,383,402,27
62,6,70,42,53,78,71,134,15,15,93,25,28,68,23,104,52,6,120,17,42,10,19,8,35,8,27,47,110,72,65,23,4,32,233,29,9,16,75,68,18,19,3030,80,47,5,47,27,909,180,700,81,16,41,26,17,4,102,6,86,15,46,230,37,111,74,90,57,65,18,9,33,9,85,20,18,123,52
63,5,29,25,22,34,35,90,19,23,38,19,25,39,31,76,21,6,77,20,12,30,22,9,21,8,10,46,57,35,59,26,7,21,154,19,10,12,83,58,17,24,1659,66,38,3,31,7,694,127,490,64,10,39,16,15,2,77,7,22,4,36,55,181,92,50,79,51,33,9,10,15,8,66,8,18,125,36
64,5,17,16,24,24,12,46,9,5,14,19,13,31,17,31,13,5,40,6,6,57,9,2,9,2,7,11,23,18,40,29,5,19,80,9,6,3,34,23,5,12,1011,49,26,2,25,4,356,54,288,40,11,18,10,6,0,38,3,27,6,12,44,76,145,22,46,23,11,0,6,5,3,32,4,10,37,17
65,36,268,43,51,14,195,10,90,102,17,83,205,6,3,31,63,49,34,36,72,9,33,8,12,27,18,123,141,25,23,2,52,159,82,64,41,6,194,182,39,212,2074,470,101,7,11,12,1037,194,1078,208,74,322,38,50,3,118,34,21,6,27,10,10,15,907,11,59,2,13,35,18,19,190,7,48,566,24
66,17,79,67,48,54,99,141,20,43,87,35,34,81,58,96,54,9,200,35,49,12,55,17,55,6,28,49,170,103,136,10,14,55,504,45,38,61,181,166,38,65,3849,161,40,4,36,17,1778,261,1243,121,29,105,38,36,5,195,20,53,11,72,66,73,92,79,356,142,49,32,8,31,12,93,20,63,217,115
67,74,20,19,8,4,115,5,128,50,11,25,8,3,5,22,1,1,65,77,40,0,329,12,4,36,2,9,54,13,13,0,34,120,237,144,70,6,1090,892,299,298,7000,75,14,5,10,6,4235,186,2096,26,337,34,138,106,0,391,65,8,2,326,9,6,12,47,12,1348,3,9,2,9,19,16,2,214,600,23
68,4,43,42,53,45,36,62,16,11,72,27,13,29,27,60,40,8,80,11,24,8,16,8,38,7,9,28,117,42,63,20,7,19,185,26,9,11,45,62,12,23,2353,67,37,3,54,13,861,139,601,65,13,54,13,18,1,70,12,30,2,26,66,23,60,69,49,32,92,15,9,16,6,75,13,19,84,25
69,7,8,25,14,17,26,25,7,6,26,12,20,7,5,23,16,2,52,15,19,2,13,2,14,2,7,14,43,43,39,3,3,27,100,11,8,13,36,28,9,14,833,41,22,0,5,1,422,70,280,40,12,27,13,3,1,35,3,9,3,8,20,9,23,14,26,39,14,13,3,6,6,33,2,7,71,33
70,11,139,46,26,13,41,4,18,15,12,43,78,3,3,11,38,39,17,13,14,7,15,2,2,1,8,69,133,4,14,6,13,47,44,21,13,1,49,30,10,46,1131,157,34,2,6,8,483,65,443,109,26,35,15,10,1,52,10,8,1,15,5,10,10,112,9,10,3,5,129,4,16,138,2,12,122,4
71,7,77,60,49,57,55,58,13,15,49,43,61,30,19,66,79,19,127,10,35,7,23,6,46,8,15,94,128,83,76,5,5,41,128,34,15,16,84,70,14,30,1651,159,55,1,21,28,777,119,537,130,17,51,17,23,1,98,16,31,6,37,50,25,46,81,57,44,29,11,16,58,7,138,6,30,116,38
72,19,16,34,3,9,139,10,43,36,2,16,30,5,5,7,12,10,22,17,56,1,17,21,4,3,5,12,49,30,7,1,23,57,17,84,17,3,84,96,24,58,810,54,30,14,6,1,388,44,342,28,33,79,24,28,1,148,24,2,1,14,6,2,3,51,7,48,2,5,2,1,28,17,3,22,167,2
73,31,278,37,64,14,99,9,28,28,33,76,129,14,11,19,141,50,16,30,32,8,18,5,6,9,5,102,241,14,18,7,27,59,75,35,26,2,76,70,22,78,2003,226,56,7,25,17,790,97,707,220,30,94,14,36,1,97,19,21,3,21,8,25,6,200,13,32,4,8,63,8,11,459,7,25,217,6
74,6,32,17,53,22,47,74,12,11,61,21,19,37,30,74,35,6,89,10,20,8,8,6,39,3,13,26,95,28,56,20,6,28,126,17,9,10,67,33,16,27,1831,66,34,1,63,20,693,97,446,49,6,43,10,8,3,73,7,29,8,29,126,28,74,32,47,31,23,5,9,20,2,47,48,24,81,34
75,138,17,42,8,2,100,5,136,89,4,29,18,3,4,14,17,8,79,66,36,1,407,20,10,116,4,14,44,21,12,1,33,97,210,304,110,4,589,421,530,223,3996,140,21,20,8,5,2110,125,1269,38,182,52,329,331,0,393,109,13,0,734,19,9,3,72,21,641,6,12,7,7,12,23,1,1769,434,22
76,76,104,46,15,5,233,9,221,129,8,71,60,3,9,12,40,11,105,88,92,2,154,27,3,55,9,36,140,35,29,4,82,289,551,196,97,20,750,896,202,802,12249,273,58,23,8,11,6720,241,5231,139,334,189,104,200,3,512,103,13,3,168,6,6,11,129,7,256,4,22,18,4,42,29,0,150,3301,38
77,7,42,43,28,24,42,60,11,22,39,20,31,29,14,26,43,7,116,10,25,3,23,4,29,4,9,33,60,61,43,5,0,15,604,22,15,28,85,77,18,33,1624,51,22,5,24,13,792,125,532,51,18,41,19,12,4,94,16,26,4,45,35,16,35,42,57,51,29,19,14,21,5,31,8,24,112,172
